Property ID,Locality name,Postal code,Price,Type of property,Subtype of property,Type of sale,Number of rooms,Living area,Equipped kitchen,Furnished,Open fire,Terrace,Garden,Number of facades,Swimming pool,State of building,Garden Surface,Terrace Surface
,,,230000.0,,,,2.0,,1.0,0.0,0.0,0.0,0.0,2.0,0.0,,102.25,10.0
,,,325000.0,,,,3.0,,1.0,0.0,0.0,1.0,1.0,3.0,0.0,,320.0,17.0
,,,450000.0,,,,4.0,,1.0,0.0,0.0,1.0,1.0,4.0,0.0,,834.75,30.0
7286,7286,7286,7284.0,7286,7286,7286,7146.0,6854,2140.0,7286.0,7286.0,7286.0,7286.0,5320.0,7286.0,5479,1690.0,2782.0
3,184,184,,4654,3900,7284,,110,,,,,,,,1938,,
,,,8600002.0,,,,29.0,,1.0,1.0,1.0,1.0,1.0,4.0,1.0,,200000.0,5331.0
,,,397549.5698791873,,,,3.035544360481388,,1.0,0.030194894317869887,0.024567664013175953,0.7421081526214658,0.627504803733187,2.925,0.0403513587702443,,1159.360355029586,28.641624730409777
,,,0.0,,,,0.0,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,1.0,1.0
,,,327004.84339158126,,,,1.5566274813861343,,0.0,0.1711349827671365,0.15481402846632272,0.43750418666897406,0.48350244102584483,0.8561814207897229,0.1967954320499084,,6780.391707333793,119.14093452589577
RBU65814,Louvain-la-Neuve,1348,,House,House,Sale,,150 ,,,,,,,,Normal,,
6852,1179,751,,3,16,2,,514,,,,,,,,10,,
