Terrace Surface,count
20.0,176
10.0,168
30.0,130
15.0,128
8.0,126
12.0,126
25.0,98
7.0,81
6.0,77
40.0,72
9.0,70
16.0,69
17.0,64
5.0,64
4.0,58
13.0,58
14.0,56
3.0,49
11.0,49
50.0,48
18.0,45
35.0,45
2.0,37
21.0,36
60.0,31
24.0,31
22.0,29
19.0,28
23.0,26
36.0,25
26.0,25
45.0,25
1.0,23
33.0,21
100.0,20
32.0,19
28.0,19
27.0,19
70.0,16
29.0,16
75.0,16
39.0,11
48.0,10
80.0,10
55.0,9
42.0,9
41.0,8
65.0,8
34.0,8
43.0,8
47.0,7
37.0,7
90.0,7
31.0,7
150.0,7
46.0,7
63.0,7
44.0,7
68.0,6
38.0,6
95.0,5
49.0,5
120.0,5
56.0,5
62.0,5
200.0,5
85.0,4
52.0,4
59.0,4
53.0,4
67.0,4
110.0,3
99.0,3
118.0,3
130.0,3
71.0,3
54.0,3
250.0,2
111.0,2
69.0,2
84.0,2
74.0,2
57.0,2
58.0,2
77.0,2
93.0,2
89.0,2
121.0,1
5331.0,1
87.0,1
86.0,1
108.0,1
82.0,1
140.0,1
155.0,1
2968.0,1
73.0,1
102.0,1
581.0,1
115.0,1
72.0,1
220.0,1
123.0,1
124.0,1
171.0,1
295.0,1
160.0,1
105.0,1
94.0,1
97.0,1
81.0,1
92.0,1
78.0,1
114.0,1
275.0,1
125.0,1
610.0,1
176.0,1
107.0,1
228.0,1
66.0,1
136.0,1
129.0,1
101.0,1
